"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk-1.Fpts","Wk-2.Fpts","Wk-3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
2,"0",4000,20.8,0.03,0,0.02,0.7,0.2,0.2,0,8.5,5.7,6.1,6.1,0.7,8.9,8.4,10.1,11,4.6,15.6,9.1,25,17,9.6,13.5,2.1,40,59,0,0.150510204081633,2,3,9,0
2,"0",3900,26.8,0.09,0.34,0.15,0,0.2,0,0,2.5,2.3,4.7,1.2,0.4,10.1,0.5,8.7,2,-2.6,19.9,2.5,32,31,0,0,0,20,40,2,0.107238605898123,5,4,4,0
0,"0",3900,19,-0.02,0.14,0.09,0,0.2,0,0,9,3,2.2,3.6,0.7,9.5,9.7,5.9,6,-1.5,13.2,4.4,10,23,0,0,10.4,10,15,2,0.0424929178470255,6,6,3,0
2,"0",3900,19,-0.02,0.14,0.09,0.3,0.3,0,0,5,6.3,5.9,5.4,0.4,7.2,11.4,9.5,9,3.1,16,9.9,10,23,9.8,15.6,8.8,40,59,1,0.1671388101983,2,2,4,0
1,"0",3900,28,0.15,0.01,0.04,0.3,0.8,0,0,5.3,7,5.2,4.7,0.1,7,9.6,7.1,8,3.3,10.8,9.4,28,18,9.5,9,10.3,31,48,1,0.142857142857143,3,3,4,0
4,"0",3900,25.5,0.03,-0.2,0,0,0,0,0,0,7.3,7.2,5.5,1.1,7.3,10.3,10.6,9,6.3,14.9,10.5,25,29,14.1,0,12.7,43,68,1,0.186301369863014,3,1,4,1
3,"0",3900,20,-0.04,0.2,0.03,1.3,1.8,2.4,0.3,4.6,8,8.1,6,0.9,4.6,10.1,10.2,14,2.4,18,11,18,26,4.9,2.8,0,39,72,2,0.229299363057325,2,1,3,0
3,"0",3800,20.8,-0.2,-0.07,-0.14,0.3,0.1,0,0,11,5,5,4.1,0.6,10.1,10,10.4,7,3.1,17.7,8.1,1,5,12.2,10.8,7,33,44,2,0.134969325153374,3,3,2,0
2,"0",3800,26.3,-0.18,0.16,-0.06,0,0,0,0,0,3.7,5.3,4.7,1,6,7.4,10.4,8,5.2,15.6,8.7,17,9,0,9,1.4,38,52,6,0.156626506024096,2,3,1,0
0,"0",3700,24.3,-0.01,-0.08,0.17,0,0,0,0,0,5.3,5.3,5.4,0.6,9,7.4,8.5,9,4.1,12.8,9.2,16,32,0,5.6,0,25,43,1,0.136942675159236,3,3,4,0
0,"0",3700,28,0.15,0.01,0.04,0,0,0,0,0,4.3,4,4.1,0.5,7.3,8.4,7.2,7,2,12.3,6.7,28,18,14.6,3.8,6.8,14,36,3,0.107142857142857,6,4,2,0
1,"0",3600,24.8,-0.09,-0.06,-0.03,0.3,0.2,0,0,7.5,4,3.8,4,0.4,8.4,7.1,5.7,7,1.4,9.9,8.2,5,19,10.2,4,7.2,23,39,0,0.125806451612903,4,4,5,0
0,"0",3600,19,-0.1,-0.04,0,0,0,0,0,0,4,4,4.6,0.2,10.4,12.9,9.3,8,1.4,17.1,7.6,6,8,12.7,2.1,0,21,36,4,0.135849056603774,3,3,1,0
2,"0",3500,22.8,0.03,0.09,-0.09,0,0,0,0,0,5.3,5.3,4.2,0.4,8.1,10.6,9.6,7,1.4,17.8,8.4,24,7,0,8.3,0,17,39,3,0.141304347826087,4,3,1,0
2,"0",3500,20.8,-0.2,-0.07,-0.14,0,0.4,0,0,3.8,5,4,3.1,0.4,7.1,7.3,7.7,5,1.2,14.2,5.3,1,5,4.7,10.5,6.6,30,38,2,0.116564417177914,4,4,2,0
2,"0",3500,31,-0.03,0.68,0.06,0,0,0.3,0,0,1.7,2.3,3.8,0.6,9.8,4.8,6.1,6,-0.4,12.5,9.9,31,29,2.4,0,11.9,17,22,3,0.0723684210526316,6,6,2,0
5,"0",3500,20.5,0.03,-0.06,-0.05,0,0,0,0,0,6,7.8,6.8,0.7,6.1,9.3,11.4,11,2.4,20.4,10.9,11,10,19.1,5.2,0,41,70,3,0.25,1,1,1,0
1,"0",3400,18.8,0.04,-0.23,0.02,0,0.1,0.2,0,2,4.3,4.7,3.9,0.2,6.7,7.9,6,7,2.1,9.9,6.4,12,14,15.4,6.3,0,20,42,2,0.110526315789474,5,4,2,0
3,"0",3400,26,0.07,0.1,0.06,0.3,0.1,0,0.1,-5,5.3,4.7,3.3,0.4,4.9,6.9,5.8,5,1.6,10,5.9,28,30,6.5,12.7,0,19,33,1,0.100609756097561,7,5,4,0
5,"0",3400,17.3,0.06,-0.14,-0.02,0,0,0.2,0,0,5.7,5.6,6,1,9.3,8,12.5,10,4.5,20.4,11.3,9,12,3.4,0,0,32,41,2,0.126153846153846,3,4,2,0
0,"0",3400,20,-0.04,0.2,0.03,0,0,0,0,0,6.3,4.7,4.3,0.3,10,8.5,9.6,7,3.7,15.4,6.6,18,26,3.6,8.8,0,26,42,3,0.133757961783439,5,4,1,0
0,"0",3300,18.8,0.04,-0.23,0.02,0,0,0,0,0,4,3.2,3.2,0.1,5.9,4.6,3.7,5,0.1,7.3,5.3,12,14,3.5,1.9,0,18,33,0,0.0868421052631579,6,5,6,0
1,"0",3300,25.8,-0.13,-0.33,0,0,0,0,0,0,3.7,4.4,3.8,0.3,10.3,3.3,8.3,6,3.5,13,7,3,24,1.5,3.9,4.5,25,37,1,0.1280276816609,3,4,5,0
1,"0",3300,28.3,0.09,-0.12,0.2,0,0.1,0.2,0,3,4.7,4.4,4,0.6,9,5.4,7.2,7,3,11.4,7.5,19,20,0,4.8,8.3,20,34,1,0.0944444444444444,4,3,6,0
1,"0",3300,26,0.07,0.1,0.06,0,0,0,0,0,4,4.6,7,0.9,8,5.6,6.6,11,3.4,9.8,11,28,30,2.2,5.8,8.9,27,45,0,0.13719512195122,4,3,6,0
0,"1",3300,24.3,-0.01,-0.08,0.17,0,0,0,0,0,2.3,2.5,0.7,0.3,6.3,4.3,5.6,1,0.8,10.3,1.1,16,32,1.2,10,0,3,7,2,0.0222929936305732,11,10,3,0
0,"0",3200,25.8,-0.13,-0.33,0,0,0,0,0,0,2.3,2.9,1,0.6,5.4,4.6,4.4,2,-0.7,9.6,1.7,3,24,0,1.9,2.9,12,23,3,0.0795847750865052,6,5,3,0
3,"0",3200,25.3,0.13,0.07,-0.01,0,0.1,0,0.1,1,4.3,5.8,4.5,0.4,6.6,9.2,7.5,8,2.2,12.7,9.6,29,16,15.8,9.8,2.1,31,65,1,0.197568389057751,4,1,7,0
0,"0",3100,18.8,0.09,-0.04,-0.08,0,0.2,0.2,0,0,4.3,4.1,3.4,0.9,5.8,7.8,6.6,6,0.1,13.1,6.3,20,4,0,3.3,20.1,24,42,3,0.117647058823529,4,4,2,0
0,"0",3000,24.5,0.1,-0.26,0.03,0,0,0,0,0,1.7,2.9,0.7,0.6,9.3,4.6,5.7,1,1.5,9.9,1.3,21,22,2.9,4.5,6.4,18,22,1,0.0583554376657825,7,7,6,0
0,"0",3000,28,0.15,0.01,0.04,0,0,0,0,0,2.7,4,2.4,0.6,5.4,1.6,4.9,4,0.1,9.8,4.8,28,18,1.3,2.1,1.3,20,36,1,0.107142857142857,5,4,4,0
0,"0",3000,26.8,0.09,0.34,0.15,0,0,0,0,0,2.7,2.5,2.6,0,11.1,3.8,5.8,4,1,10.6,5,32,31,4.9,0,0,6,13,1,0.0348525469168901,8,9,6,0
0,"0",3000,26.3,-0.18,0.16,-0.06,0,0,0,0,0,1,1,1,0.1,8.4,2.2,2.8,2,-0.7,6.4,1.5,17,9,0,3.7,0,6,9,1,0.0271084337349398,6,6,6,0
0,"1",3000,20.8,0.03,0,0.02,0,0,0,0,0,0.7,1.1,0.4,0.1,12.9,0.9,2.8,1,-1.3,6.9,0,25,17,0,2.6,0,5,9,1,0.0229591836734694,9,8,4,0
0,"0",3000,20.8,0.03,0,0.02,0,0,0,0,0,1,1.3,0,0.2,4,1.2,1.2,0,0.3,2.1,0,25,17,0,0,0,5,7,0,0.0178571428571429,9,10,9,0
0,"0",3000,25.3,0.13,0.07,-0.01,0,0,0,0,0,3.7,3.7,1.6,1,8.1,5,5,3,3.4,6.6,2.3,29,16,0,6.8,0,6,10,0,0.0303951367781155,8,9,10,0
0,"0",3000,22.8,0.03,0.09,-0.09,0,0,0,0,0,3.3,2.6,2.9,0.6,5.5,4.6,6.2,5,3,9.4,5.6,24,7,0,0,0,6,15,3,0.0543478260869565,9,6,1,0
0,"0",3000,25.3,0.01,0.02,-0.04,0.3,0.1,0.3,0,3,4.7,4.7,4.5,0.3,7,4.5,6.2,8,2,10.4,8.1,14,13,3.2,0,9.1,25,38,0,0.127090301003344,4,4,5,0
0,"0",3000,19,-0.02,0.14,0.09,0,0,0,0,0,4.3,3.8,2.5,0.3,4.7,2.9,2.8,4,0.4,5.1,4.4,10,23,0,0,0,4,15,0,0.0424929178470255,10,6,8,0
0,"0",3000,17.3,0.06,-0.14,-0.02,0,0,0,0,0,1,0.4,3.2,0,1.3,0.5,0.2,5,-0.3,0.7,7,9,12,0,0,0,1,3,0,0.00923076923076923,11,11,6,0
0,"0",3000,17.3,0.06,-0.14,-0.02,0,0.2,0,0,7,2.3,1.3,4.8,0,6.3,2.2,1.6,8,-0.4,3.6,6.9,9,12,0,0,1.4,4,8,0,0.0246153846153846,8,8,6,0
0,"0",3000,20.8,-0.2,-0.07,-0.14,0,0,0,0,0,1.3,2.4,0.9,0,5.3,0.6,2.1,1,-0.9,5.2,1.6,1,5,0,1.9,0,7,20,0,0.0613496932515337,7,6,5,0
0,"0",3000,20,-0.04,0.2,0.03,0,0,0,0,0,1,1,0.9,0,3,1,1,1,0.1,1.8,1.5,18,26,1.6,1.3,0,1,1,0,0.00318471337579618,10,11,5,0
0,"0",3000,20.5,0.03,-0.06,-0.05,0,0,0,0,0,1.3,1.3,3.8,0,7.4,1.6,1.7,6,0.3,3,6.8,11,10,0,0,0,4,9,0,0.0321428571428571,9,8,6,0
2,"0",3000,20.5,0.03,-0.06,-0.05,0,0,0,0,0,7.3,5.4,6.5,0.4,7,10.7,7.3,11,1.7,12.9,10,11,10,8.2,19.6,0,29,50,0,0.178571428571429,2,2,6,0
1,"0",3000,31,-0.03,0.68,0.06,0,0,0,0,0,2,2.5,3.8,0,6.3,1.7,2.8,6,1,4.5,7.1,31,29,2.3,0,0,7,14,0,0.0460526315789474,7,7,7,1
0,"0",3000,24.8,-0.09,-0.06,-0.03,0,0,0,0,0,6,5,4.6,0.7,6.8,6.6,6.3,8,3.6,9,8.9,5,19,4.6,5.6,9.7,28,47,0,0.151612903225806,3,3,5,0
0,"0",3000,24.8,-0.09,-0.06,-0.03,0,0,0,0,0,2.3,2.3,1.4,0.3,10.2,5,3.7,2,1.2,6.1,3.7,5,19,7.2,2.5,5.3,11,19,0,0.0612903225806452,7,6,5,0
0,"0",3000,18.3,-0.01,-0.1,-0.09,0,0,0,0,0,6,4.5,2.4,0.9,5.4,6.4,5.4,4,2,8.9,3.8,8,6,0,0,10.5,20,39,1,0.128289473684211,5,4,2,0
0,"0",3000,18.3,-0.01,-0.1,-0.09,0,0,0,0,0,4,4,1.8,0,17.3,8.9,8.9,3,8.9,8.9,3.8,8,6,0,0,0,2,4,0,0.0131578947368421,9,9,7,0
0,"0",3000,18.3,-0.01,-0.1,-0.09,0,0.1,0,0,5,5.3,5.3,4.7,1.2,5.5,5.4,6.7,8,2.8,10.5,7.5,8,6,2.7,8.1,5.5,27,50,1,0.164473684210526,4,2,2,0
0,"0",3000,25.5,0.03,-0.2,0,0,0,0,0,0,2.3,1.6,1.3,0.3,2.5,1.4,0.8,2,-0.3,1.9,2.1,25,29,0,0,2.7,4,13,0,0.0356164383561644,8,7,8,0
0,"0",3000,22.5,0.02,0.08,-0.01,0,0,0,0,0,3,2.7,0.4,0.3,4.9,5.5,3.8,1,-1,8.6,0,17,13,0,3.5,13,9,16,1,0.0414507772020725,6,6,4,0
0,"0",3000,26,-0.2,0.13,-0.22,0,0,0,0,0,1.7,1.9,2.6,0.6,4.7,2.4,3.6,4,0.4,6.9,4.1,6,3,0,4.7,1,10,15,2,0.0401069518716578,8,8,3,0
0,"0",3000,19.5,0.11,0.07,0.09,0,0.1,0.3,0.1,-2,1.7,2.3,4.1,0.9,3.9,2.3,2.1,7,0.6,3.7,6.3,25,25,2,0,4.8,9,15,0,0.0460122699386503,7,7,7,0
0,"0",3000,26,-0.2,0.13,-0.22,0,0,0,0,0,6.3,5.2,3.9,1.2,5.9,10.1,8.5,6,4.9,12.1,6.5,6,3,0,6.2,15.9,26,50,3,0.133689839572193,3,3,2,0
8,"0",5000,25.8,0.08,-0.14,0.1,0,0,0,0,0,10,8.5,8.4,0.8,7.5,13,13.8,15,6.9,20.6,18.4,29,32,10.9,13.3,14.8,53,87,3,0.247159090909091,1,1,1,0
2,"0",5000,26,-0.15,0.06,-0.06,0,0,0,0,0,5.5,5.5,5.1,0.5,5.7,6.2,6.2,9,3.1,9.2,9.6,15,9,0,0,0,6,10,0,0.033112582781457,9,9,7,0
1,"0",4900,24,-0.16,0.05,-0.22,0,0.1,0,0,-1,5,6.6,5.1,0.8,8.7,8.1,12.4,8,2.9,21.8,9.1,8,3,0,0,1.5,39,61,3,0.163538873994638,2,3,4,0
5,"0",4800,23.8,0.04,-0.21,0.06,0,0,0,0,0,7,6.9,6.6,0.8,7.5,10.5,10.6,11,4.3,17,12.7,11,16,15.1,0,0,34,68,2,0.171284634760705,4,3,3,1
1,"0",4800,18.3,-0.2,0.16,-0.38,1.3,1,0.5,0.1,6.5,7.7,4.6,7.1,0.7,8.2,12.1,10.4,12,3.9,16.9,12.3,2,1,10.1,20.1,6.2,36,45,4,0.125,2,4,1,1
3,"0",4700,17.5,0.09,-0.14,0.21,0,0.1,0,0.1,6,2.7,5.6,5.9,0.6,9.6,8.1,11.6,11,0.9,22.3,10.7,19,21,8.9,12,0,34,52,2,0.145658263305322,3,3,2,0
16,"1",4700,25.8,-0.01,0.68,0.11,0,0,0,0,0,7.3,6.4,6,0.6,8.4,14.3,11.6,10,4.1,19.2,11.8,32,30,21.9,18.3,2.8,39,58,2,0.192691029900332,2,2,2,0
1,"0",4700,28.5,0.04,-0.2,0.06,0,0.1,0,0,2,3,3.3,3.5,0.2,13,7.5,8,6,0.2,15.9,6.3,18,19,0,0,0,19,35,2,0.101744186046512,5,5,5,0
0,"0",4700,21.3,-0.07,-0.01,-0.02,4.7,3.1,4.7,0.7,5.2,3,3.8,2.2,0.9,7.1,7.8,7.3,11,-1.6,16.1,7.4,6,19,7.4,4,12.1,30,36,1,0.0837209302325581,4,5,5,0
4,"0",4600,19.3,-0.1,-0.29,0.06,0,0.1,0,0,-2,4.3,5.5,7.4,0.9,7.6,3.6,9.9,13,2.1,17.6,11.5,5,29,7.2,1.9,0,33,57,4,0.155313351498638,3,2,1,0
4,"0",4500,29.3,0.14,0.06,0.05,0,0,0,0,0,7,5.9,5.9,0.9,7.3,13.2,10.3,10,3.5,17.1,10.2,29,19,6,14.2,19.3,27,41,2,0.0995145631067961,4,4,4,0
1,"0",4300,22.8,0.13,-0.03,0.1,0,0,0,0,0,6,6,6.7,1.2,7,11.2,9.4,10,4.3,14.5,12.3,30,28,4.1,18.1,0,28,56,3,0.132387706855792,4,4,2,0
7,"0",4300,26.3,-0.21,-0.09,-0.09,0,0,0,0,0,6.3,5.9,6.1,1,7.3,13.1,10.1,10,2.6,17.6,11.7,1,5,0,3.4,12.4,41,63,3,0.178977272727273,2,2,2,0
5,"0",4200,20.3,0.05,-0.13,-0.04,0,0,0.2,0,0,8,7.4,7.3,0.6,7.3,6.6,11.8,13,1.3,22.3,12.6,9,11,7.9,4.7,7.1,17,37,2,0.0925,6,5,3,0
1,"0",4200,22.8,0.13,-0.03,0.1,0,0.4,0.7,0.1,9,7.7,4.5,5.6,0.4,6.8,10.9,7,10,-2.2,16.2,10.9,30,28,1,3.9,0,19,38,2,0.0898345153664303,5,5,3,0
2,"0",4200,19.3,0.12,-0.04,0.03,1.7,1.8,2,0.3,4.5,3.7,7.5,6.5,0.8,4.7,3.9,9.6,15,1.9,17.2,11.6,26,15,3.9,4.9,2.8,40,74,2,0.213872832369942,2,2,3,0
6,"0",4100,22,-0.14,-0.05,-0.27,0,0.1,0,0,3,4.7,6.6,4.8,0.9,10.2,3.4,13.6,8,2,25.2,9.1,3,2,2.5,0,1.5,38,76,4,0.208219178082192,4,2,2,0
1,"0",4100,19.5,0.02,-0.03,-0.1,0,0,0,0,0,7,6.9,6.8,0.8,7.7,8.2,10.9,11,4.9,17,9.2,10,7,0,1.7,3.5,38,70,3,0.200573065902579,2,2,1,1
1,"0",4100,24,-0.16,0.05,-0.22,0,0,0,0,0,8.3,5.6,4.6,0.3,7.3,10.7,8.2,8,0.1,16.3,7.4,8,3,0,9.3,11.6,34,64,1,0.171581769436997,3,2,6,1
2,"0",4000,24,-0.02,-0.07,0.17,0,0.1,0,0,15,4.7,4.5,4.1,0.4,10.4,8.8,10.6,7,0.9,20.4,7.3,17,31,9.2,8.8,8.4,25,35,3,0.0953678474114441,5,5,3,0
3,"0",4000,17.5,-0.01,0.01,-0.03,1,0.3,0.2,0,7.7,7.3,6.3,6.3,0.7,8.6,13,10.7,11,5.2,16.2,9.2,13,12,15.8,9.6,13.5,44,65,1,0.152224824355972,2,3,4,0
18,"0",4000,19.3,-0.1,-0.29,0.06,0.3,0.1,0.2,0,3,6.3,5,7.4,0.5,7,9.9,7.3,13,2,12.6,13.2,5,29,17.4,3.2,0,33,50,1,0.136239782016349,3,4,3,0
2,"1",4000,22.8,0.13,-0.03,0.1,0.3,0.1,0.7,0,10,4,6.3,5.6,0.4,6.7,7,8.7,10,-0.2,17.5,11.4,30,28,0,6,0,30,59,1,0.139479905437352,3,3,5,0
8,"0",4000,20,0.01,-0.01,0.02,0.3,0.1,0,0,11,5,5,6.7,0.6,10.4,13.5,11.1,11,3.8,18.3,14.5,23,14,17.5,12.2,10.8,38,51,3,0.142857142857143,3,3,2,0
2,"0",3900,22.5,0.09,0.09,0.09,0.7,0.8,0,0.1,6.3,6.3,5.1,4.7,0.1,7.3,11.1,7.8,8,3.5,12.2,9.1,25,22,14.9,9.5,9,33,52,2,0.141304347826087,3,3,4,1
7,"0",3900,23.8,0.04,-0.21,0.06,0,0,0,0,0,8,7.2,7,1,8.2,17.8,12.2,12,5.8,18.7,12.3,11,16,26.6,14.1,0,49,75,2,0.188916876574307,2,1,3,0
0,"1",3900,17.5,-0.01,0.01,-0.03,0,0,0,0,0,4.3,6.9,5.9,1.1,6.7,1.7,9.3,10,2.6,15.9,10.8,13,12,1.9,3.3,0,34,71,2,0.166276346604215,4,2,3,0
1,"0",3800,17.5,0.09,-0.14,0.21,0,0,0.2,0,0,3.7,5.3,5.5,0.9,8.9,5.4,11.3,10,3.3,19.4,10.4,19,21,3.3,3.4,0,34,44,2,0.123249299719888,3,4,2,0
7,"0",3700,24,-0.02,-0.07,0.17,0,0.1,0,0.1,1,6.3,5.9,4.4,0.4,7,14.1,8.3,7,2.6,14,9.2,17,31,16.8,15.8,9.8,35,73,2,0.198910081743869,4,1,6,0
2,"0",3700,20.5,-0.02,-0.08,-0.09,0.3,0.3,0,0,5,7.3,6,5,0.5,7.2,11.4,9.4,8,3.4,15.5,9.3,6,8,8.7,9.8,15.6,44,67,1,0.169620253164557,2,2,4,0
2,"0",3700,28.5,0.04,-0.2,0.06,0,0,0.3,0,0,2.7,2.4,3.5,0.7,8.6,7.5,6.3,6,0.2,12.4,6.6,18,19,8.2,2.4,0,19,25,4,0.0726744186046512,5,6,1,0
2,"0",3600,19.3,0.12,-0.04,0.03,0,0,0,0,0,5,4.7,4.7,0.3,9.4,5.8,9.1,8,3.4,14.8,7.3,26,15,5.1,3.6,8.8,29,47,3,0.135838150289017,4,4,1,0
5,"0",3600,20,0.01,-0.01,0.02,0,0.4,0,0,3.8,6.7,4.4,5.2,0.5,7,10.2,8.4,9,1.9,15,9.2,23,14,15.3,4.7,10.5,34,46,2,0.128851540616246,4,4,3,0
2,"0",3600,26,-0.15,0.06,-0.06,0,0,0,0,0,5,5,5.6,0.6,7.9,10.4,8.8,10,0.9,16.7,10.1,15,9,3.5,0,8.3,19,41,3,0.135761589403974,4,3,1,0
2,"0",3600,26.3,-0.21,-0.09,-0.09,0.7,0.3,0,0.1,12,4.3,3.3,3.5,0.1,13.2,16.3,9.7,6,3.1,16.3,5.6,1,5,0,0,0,17,24,2,0.0681818181818182,6,5,4,1
0,"0",3600,25.8,-0.01,0.68,0.11,0,0,0,0,0,4.3,4.5,4.1,0.2,9.1,7.4,9.1,7,1.7,16.5,7.2,32,30,7.3,12.7,2.1,25,45,4,0.149501661129568,3,3,1,0
1,"0",3600,25.5,0.07,0.07,0.05,0.3,0.2,0,0,7.5,3.7,3.7,4.3,0.5,8.8,6.7,5.7,7,1.7,9.7,9.1,27,27,5.9,10.2,4,26,43,0,0.135646687697161,4,4,5,0
0,"0",3500,26.8,0.05,0.35,0.12,0,0,0,0,0,3.7,4.9,4.3,0.6,9.7,7.3,8.2,7,4,12.3,8,31,26,5.8,0,5.6,26,46,1,0.115869017632242,4,3,4,0
0,"0",3500,18.8,-0.08,0.18,0,0,0,0,0,0,6.3,7.6,5.8,0.6,5.6,8.1,10.2,10,1,19.5,9.3,12,18,0,19.1,5.2,41,76,3,0.245161290322581,1,1,2,0
0,"0",3500,29.3,0.14,0.06,0.05,0,0.2,0,0,2.5,2.3,4.7,2.2,0.4,10.1,0.5,8.7,4,-2.6,19.9,4.1,29,19,0,0,0,20,40,2,0.0970873786407767,5,5,4,0
0,"0",3500,20.5,-0.02,-0.08,-0.09,0,0.1,0,0,9,4.3,2.4,3.3,0.6,10.4,12.5,6.2,5,-0.5,13,4.1,6,8,8.4,0,0,13,19,2,0.0481012658227848,6,6,3,0
1,"0",3500,22.5,0.09,0.09,0.09,0,0,0,0,0,5.3,4.3,4.1,0.7,6.8,7.9,7,7,2.1,11.8,6.5,25,22,5.2,14.6,3.8,16,43,3,0.116847826086957,6,4,2,0
0,"0",3400,18.8,-0.08,0.18,0,0,0,0,0,0,3,4.3,3.7,0.3,6.2,3.7,5.9,6,0.1,11.7,7.2,12,18,0,4.6,3.8,17,39,2,0.125806451612903,5,3,3,0
1,"1",3300,18.8,-0.08,0.18,0,0,0,0,0,0,7.7,5.4,5.8,0.4,6.7,10.5,6.9,10,1.5,12.3,9,12,18,3.7,8.2,19.6,31,55,0,0.17741935483871,2,2,6,0
3,"0",3300,22,-0.14,-0.05,-0.27,0,0,0,0,0,5.3,5.7,6.1,0.9,5.7,6.7,10.3,11,5.4,15.3,10.9,3,2,9.7,0,9,44,61,6,0.167123287671233,3,3,1,1
0,"0",3200,18.3,-0.2,0.16,-0.38,0.3,0.1,0,0.1,-5,6.3,4.6,3.3,0.5,4.9,10.4,6.6,5,2.1,11,5.4,2,1,11.9,6.5,12.7,23,37,2,0.102777777777778,5,5,3,0
0,"0",3200,20.8,0.08,-0.1,-0.08,0,0.1,0.2,0,3,4,4.2,3.8,0.6,9.6,6.4,7.1,7,3.1,11,6.8,15,4,6,0,4.8,21,38,1,0.0979381443298969,4,3,6,0
0,"0",3100,29.3,0.06,0.05,0.01,0,0,0,0,0,2,4.1,4,0.2,10,2.5,7.6,6,2.7,12.4,8,19,14,2.1,1.5,3.9,26,40,1,0.122324159021407,4,4,5,0
0,"0",3100,22.8,-0.01,0.16,-0.11,0,0.1,0.3,0,2,4.3,4.7,3.6,0.2,6.7,7.9,6,6,2.1,9.9,6.1,22,6,0,15.4,6.3,20,42,2,0.100719424460432,6,4,3,0
0,"0",3100,18.3,-0.2,0.16,-0.38,0,0,0,0,0,5,4.9,6.1,1,7.2,4.9,6.6,10,3.6,9.7,8.7,2,1,6.8,2.2,5.8,31,52,0,0.144444444444444,3,3,6,0
0,"0",3000,26.3,-0.21,-0.09,-0.09,0,0,0,0,0,2,1.9,1,0.4,6.4,3.6,4.3,2,0.4,8.2,1.6,1,5,0,0,0,10,13,2,0.0369318181818182,8,9,4,0
0,"0",3000,20.3,0.05,-0.13,-0.04,0,0.2,0.2,0,0,2,3.8,3.3,0.8,6.1,2.1,6.2,6,0,12.5,5.8,9,11,3,0,3.3,25,43,3,0.1075,5,4,2,0
1,"0",3000,21.5,0.1,-0.18,0.03,0.3,0.3,0.2,0.1,-0.5,4,2.9,4,1.1,3.8,6.8,3.6,7,-0.7,7.9,5.9,24,17,13.6,2,0,14,23,1,0.0628415300546448,6,7,4,0
2,"0",3000,25.5,0.07,0.07,0.05,0,0,0,0,0,5.7,5.1,4.9,0.8,6.6,5,6.2,8,3.6,8.8,9.9,27,27,4.9,4.6,5.6,30,53,0,0.167192429022082,3,3,5,0
0,"0",3000,20.5,-0.02,-0.08,-0.09,0,0,0,0,0,5.3,4.4,2.3,0.4,6,6.7,4.4,4,0.1,8.8,4.1,6,8,0,0,0,9,23,0,0.0582278481012658,8,5,9,0
0,"0",3000,25.5,0.07,0.07,0.05,0,0,0,0,0,2.3,2.3,1.9,0.2,9,3.8,3.4,3,1,5.9,4.9,27,27,1.6,7.2,2.5,12,22,0,0.0694006309148265,6,5,5,0
0,"0",3000,26,0.11,-0.23,0.06,0,0,0,0,0,1.7,1.9,2.8,0.6,4.7,2.4,3.6,5,0.4,6.9,4.7,23,24,0,0,4.7,10,15,2,0.0369458128078818,8,8,4,0
0,"0",3000,22.5,0.09,0.09,0.09,0,0,0,0,0,2,3.9,2.3,0.6,5,1.1,4.4,4,-0.4,9.3,4.6,25,22,0,1.3,2.1,20,39,1,0.105978260869565,5,5,5,0
2,"0",3000,26,0.11,-0.23,0.06,0,0,0,0,0,4.3,5,4.2,1.2,5.7,7.9,7.8,7,3.8,11.9,7.5,23,24,1.6,0,6.2,27,53,3,0.130541871921182,3,3,2,0
0,"0",3000,28.5,0.04,-0.2,0.06,0,0,0,0,0,2.7,2.9,0.7,0.1,9.7,7.4,5.2,1,-1.5,11.8,1.3,18,19,19.8,2.3,0,11,19,1,0.0552325581395349,7,7,7,1
1,"0",3000,19.5,0.02,-0.03,-0.1,0,0.1,0,0,30,6,4.6,4.8,0.4,7.3,8.3,6.5,8,3.5,9.5,8,10,7,0,9.9,8.9,23,37,1,0.106017191977077,5,4,5,0
1,"0",3000,25.8,0.08,-0.14,0.1,0,0,0,0,0,7.3,4.9,3.9,1,5.6,9,6.6,7,1.8,11.5,7.1,29,32,16.4,0,0,25,46,2,0.130681818181818,5,5,2,0
0,"0",3000,29.3,0.14,0.06,0.05,0,0,0,0,0,2.3,3,2.9,0.4,8.1,2.7,5.2,5,0.9,9.6,5.3,29,19,3.1,4.9,0,8,18,1,0.0436893203883495,8,8,6,0
1,"0",3000,29.3,0.06,0.05,0.01,0,0,0,0,0,2,2.8,1.1,0.6,7,3.9,4.7,2,-0.2,9.6,2,19,14,6.9,0,1.9,14,25,3,0.0764525993883792,6,6,3,0
0,"0",3000,17.5,0.09,-0.14,0.21,0,0.1,0,0,7,1.7,1.4,3.2,0,8.2,2.2,2.1,6,-0.1,4.4,4.5,19,21,5.2,0,0,6,10,0,0.0280112044817927,8,8,6,0
1,"0",3000,17.5,0.09,-0.14,0.21,0,0,0,0,0,4,4,4.3,0,8.8,4.5,4.5,8,4.5,4.5,6.6,19,21,0,0,0,1,3,0,0.00840336134453781,12,12,6,1
